Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
Anfernee Simons,18,0,2024-25,25,POR,18,18,0,0.5,107,119,0.2,0.2,0.04,0.2,-1.9,-1.7,0,13.1,0.8,8.6,4.5,23.1,1.4,0.2,13.5,25,G,simonan01
Jabari Smith Jr.,21,0,2024-25,21,HOU,21,21,0,2.1,124,107,1,1.1,0.163,0,0.4,0.4,0.4,13.5,6.5,17.7,12,3.9,0.5,2.5,5.6,15.5,F,smithja05
Jalen Suggs,21,0,2024-25,23,ORL,21,21,0,1.2,104,105,0,1.2,0.096,-0.8,1.5,0.7,0.4,14.6,2.4,14.5,8.3,21.8,2.3,3.5,16.7,24.6,G,suggsja01
Jayson Tatum,21,0,2024-25,26,BOS,21,21,0,3.2,119,108,2,1.2,0.203,5.3,1.1,6.4,1.6,23.6,1.4,25,13.2,25.7,1.8,1.4,11.1,31.7,F,tatumja01
Cam Thomas,17,0,2024-25,23,BRK,17,17,0,0.8,112,120,0.7,0.1,0.072,2.3,-2.3,0,0.3,17.9,1.2,10.6,5.8,17.9,1,0.2,12.2,31,G,thomaca02
Klay Thompson,17,0,2024-25,34,DAL,17,17,0,0.6,108,115,0.2,0.4,0.061,0.6,-1.3,-0.7,0.1,11.5,2.7,10.7,6.8,8.6,1.1,1.3,6.9,20.3,G-F,thompkl01
Karl-Anthony Towns,19,0,2024-25,29,NYK,19,19,0,3.3,128,111,2.4,0.8,0.247,5.8,-0.2,5.6,1.2,27.2,10.7,33.7,22.6,15,1.3,2.3,10,28.4,C-F,townska01
Myles Turner,19,0,2024-25,28,IND,19,19,0,0.3,102,115,-0.2,0.5,0.025,-2.1,-1.1,-3.2,-0.2,13.6,5,21.5,13.3,6.3,1.3,5.6,15.9,21.7,C-F,turnemy01
Fred VanVleet,20,0,2024-25,30,HOU,20,20,0,2.5,119,106,1.2,1.3,0.171,0.9,2.1,3,0.9,15.7,1.6,11.2,6.3,25.3,2.3,1,7.5,19.6,G,vanvlfr01
Nikola Vučević,22,0,2024-25,34,CHI,22,22,0,2.5,128,116,2,0.5,0.173,4.2,-0.3,3.9,1,22.6,6.6,26.4,16.6,15.9,1,2.3,10.6,22.6,C,vucevni01
Franz Wagner,22,0,2024-25,23,ORL,22,22,0,2.9,116,105,1.5,1.5,0.197,4.2,2.1,6.3,1.5,22.7,3.3,17.2,10,33.5,2.7,1.4,9.9,30.5,G-F,wagnefr01
Cason Wallace,10,0,2024-25,21,OKC,20,10,0,1.4,114,105,0.3,1,0.125,-2.3,2.5,0.3,0.3,11.1,5.2,8.9,7,10.1,2.9,2.5,5,11.4,G,wallaca01
P.J. Washington,15,0,2024-25,26,DAL,16,15,0,1.2,112,108,0.4,0.9,0.114,-0.2,1.4,1.1,0.4,14.7,6,22.3,14.3,9.3,2.1,3.1,12.1,16.8,F,washipj01
Peyton Watson,11,0,2024-25,22,DEN,18,11,0,0.8,116,116,0.5,0.3,0.082,-1.5,-0.6,-2.1,0,12.2,4.5,10.4,7.5,6.5,1.4,3.4,8.9,15.3,G-F,watsope01
Jaylen Wells,16,0,2024-25,21,MEM,21,16,0,1.1,114,114,0.5,0.5,0.095,-0.4,-1.3,-1.7,0,11.9,3.9,9.9,7,9.7,0.7,0.9,10.6,18.6,F,wellsja01
Victor Wembanyama,17,0,2024-25,21,SAS,17,17,0,1.6,109,104,0.5,1.2,0.142,3.9,2.8,6.7,1.2,24.9,7.2,26.4,17.2,20.1,2,9.7,15.3,31.4,C-F,wembavi01
Coby White,21,0,2024-25,24,CHI,21,21,0,0.9,111,119,0.6,0.2,0.061,0.1,-1.7,-1.6,0.1,14.4,1.1,10.9,6.1,19.4,1.6,0.6,13.9,22.9,G,whiteco01
Derrick White,20,0,2024-25,30,BOS,20,20,0,2.8,130,113,2.1,0.8,0.198,4.3,0.4,4.6,1.1,18.9,4,11.6,7.8,20.3,1.1,2.6,9.2,20,G,whitede01
Andrew Wiggins,17,0,2024-25,29,GSW,17,17,0,1.7,123,112,1.1,0.6,0.168,3.1,-0.2,2.9,0.6,18.1,5.9,9.4,7.6,12.2,1.3,2.5,5.9,22.7,F-G,wiggian01
Jalen Williams,20,0,2024-25,23,OKC,20,20,0,2.7,116,101,1.2,1.5,0.206,4.1,3.1,7.2,1.5,22.7,2.9,17.3,10.1,26.3,3.1,3,11.1,27.1,G,willija06
Patrick Williams,15,0,2024-25,23,CHI,15,15,0,0,98,118,-0.2,0.2,-0.003,-2.5,-0.9,-3.4,-0.2,9.2,4,14.3,9.2,10.3,1.6,1.6,16.8,16.7,F,willipa01
Trae Young,21,0,2024-25,26,ATL,21,21,0,1.3,112,118,0.9,0.3,0.081,1.9,-2.8,-0.9,0.2,16.9,2,9.6,5.7,47.9,1.7,0.4,20,27,G,youngtr01
Ivica Zubac,22,0,2024-25,27,LAC,22,22,0,2.3,118,108,1.1,1.2,0.157,0.8,0.2,1,0.5,19.3,13.7,28.4,21,12.1,0.9,3.1,14.8,19.4,C,zubaciv01
