Rk,Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
30,Julian Champagnie,20,0,2024-25,23,SAS,20,20,0,1.2,115,113,0.5,0.6,0.096,0.1,-0.2,-0.1,0.3,13.1,3.5,15.5,9.7,8.2,1.6,2,9.9,16.4,F,champju02
31,Brandon Clarke,11,0,2024-25,28,MEM,20,11,0,1.2,127,107,0.6,0.6,0.166,-1.5,1,-0.6,0.1,14.9,9.2,18,13.8,5.9,2.1,1.8,5.8,13.6,F,clarkbr01
32,John Collins,10,0,2024-25,27,UTA,19,10,0,1.5,118,115,1.1,0.5,0.134,2,0.3,2.3,0.6,21.2,10,23.5,16.8,15.3,2.1,2.6,14.7,24.3,F,collijo01
33,Mike Conley,16,0,2024-25,37,MIN,16,16,0,1,113,110,0.4,0.6,0.112,-1.4,1.6,0.2,0.2,12.8,2.3,10.8,6.6,25.3,3.1,0.7,14.9,16.4,G,conlemi01
34,Bilal Coulibaly,17,0,2024-25,20,WAS,17,17,0,0.4,110,121,0.3,0.1,0.03,-2,-1,-3,-0.2,11.7,4.6,11.7,8.2,11.5,1.7,1.7,14.6,15.3,F,coulibi01
35,Cade Cunningham,18,0,2024-25,23,DET,18,18,0,1,106,112,0.2,0.8,0.075,2.4,-0.1,2.3,0.7,18.1,3.3,18,10.9,42.5,1.3,2.1,17.8,31.5,G,cunnica01
36,Stephen Curry,15,0,2024-25,36,GSW,15,15,0,1.8,119,107,1.1,0.8,0.198,6.8,1.5,8.3,1.2,23.2,1.6,17,9.2,33.7,2.3,1.7,16,28.9,G,curryst01
37,Dyson Daniels,20,0,2024-25,21,ATL,20,20,0,0.7,102,111,-0.2,0.9,0.052,-2.9,2,-0.9,0.2,13.3,5.2,11.1,8.1,12.4,4.2,2.7,11.8,18.7,G,daniedy01
38,Tristan Da Silva,13,0,2024-25,23,ORL,18,13,0,0.8,110,110,0.2,0.6,0.092,-2.2,0.2,-2,0,9.5,3.6,14.4,8.8,10.7,0.9,0.7,6.2,14.3,F,dasiltr01
39,Anthony Davis,20,0,2024-25,31,LAL,20,20,0,3.3,125,111,2.4,0.9,0.225,5.8,0.8,6.5,1.5,28.5,8.3,28.6,18.6,16.4,1.7,5.1,8,30.1,F-C,davisan02
40,DeMar DeRozan,16,0,2024-25,35,SAC,16,16,0,1.7,119,115,1.2,0.5,0.14,2.1,-0.1,1.9,0.6,20,1.8,11.3,6.6,19.2,2.1,1.6,8.2,25.6,G-F,derozde01
41,Gradey Dick,17,0,2024-25,21,TOR,17,17,0,0.7,112,120,0.5,0.2,0.057,-0.4,-1.6,-2,0,12.5,2.1,8.1,5.1,9.8,1.3,0.8,10.1,22.8,G,dickgr01
42,Luka Dončić,15,0,2024-25,25,DAL,15,15,0,1.9,115,110,1.1,0.8,0.162,5.1,0.5,5.5,1.1,23,1.6,20.4,11.2,34.6,2.2,0.8,11.3,33.4,G-F,doncilu01
43,Luguentz Dort,20,0,2024-25,25,OKC,20,20,0,1.9,122,106,0.8,1.1,0.154,-0.5,1.3,0.8,0.4,12.6,5,11.3,8.2,8.7,1.9,2.7,7,13.6,G,dortlu01
44,Andre Drummond,11,0,2024-25,31,PHI,17,11,0,0.6,103,107,0,0.6,0.08,-2.7,-0.2,-2.9,-0.1,16.2,15.1,32.5,23.1,4.8,3.2,2.3,18.7,19.6,C,drumman01
45,Kris Dunn,11,0,2024-25,30,LAC,22,11,0,1.2,111,106,0.3,0.9,0.113,-2.3,3.1,0.9,0.4,12,3.8,15.2,9.4,17,3.2,1.4,15.1,13.7,G,dunnkr01
46,Kevin Durant,12,0,2024-25,36,PHO,12,12,0,1,113,115,0.6,0.4,0.105,2.8,-0.2,2.7,0.5,20.6,0.8,19.8,10.3,15,0.8,3.9,13.9,28.5,F-G,duranke01
47,Jalen Duren,20,0,2024-25,21,DET,20,20,0,1.7,125,109,1,0.8,0.172,-0.5,1.6,1.1,0.4,18.5,14.5,28.7,21.8,15.3,0.5,5,22.4,14.7,C,durenja01
48,Anthony Edwards,20,0,2024-25,23,MIN,20,20,0,1.7,110,111,0.7,1,0.111,3.3,-0.3,3,0.9,18.8,2.1,14.9,8.5,17.8,1.7,1.5,11.6,30.7,G-F,edwaran01
49,Dorian Finney-Smith,15,0,2024-25,31,BRK,15,15,0,0.8,120,118,0.6,0.2,0.087,0.3,-0.4,-0.1,0.2,12.5,7.2,10.4,8.8,9.2,1.6,1.8,11,15,F,finnedo01
50,De'Aaron Fox,21,0,2024-25,27,SAC,21,21,0,2,114,115,1.3,0.6,0.12,2.7,-1.4,1.3,0.6,20.6,3.1,12,7.6,26,2.1,0.4,13.5,30.9,G,foxde01
51,Daniel Gafford,12,0,2024-25,26,DAL,20,12,0,2.5,144,110,1.9,0.6,0.28,4.2,0.8,5,0.8,26.3,15,18.9,17,9.9,1.2,5,9.4,18.9,C-F,gaffoda01
52,Darius Garland,20,0,2024-25,25,CLE,20,20,0,2.5,125,116,2,0.5,0.194,4.5,-1.1,3.4,0.8,21.5,2.1,7,4.6,32.1,1.7,0.8,12.5,26.5,G,garlada01
53,Keyonte George,19,0,2024-25,21,UTA,19,19,0,-0.3,101,123,-0.3,-0.1,-0.026,-1.8,-3.1,-4.9,-0.4,10.1,1.6,8.7,5.2,28.1,1,0.2,18,24.2,G,georgke01
54,Josh Giddey,22,0,2024-25,22,CHI,22,22,0,0.9,111,117,0.6,0.3,0.073,0.8,-0.3,0.5,0.4,15.7,5,19.5,12.3,34.4,1.3,1.4,18.1,21.3,G,giddejo01
55,Shai Gilgeous-Alexander,20,0,2024-25,26,OKC,20,20,0,3.8,122,105,2.4,1.4,0.263,7.7,2.5,10.2,2.1,28.1,2.9,13.5,8.2,32.5,2.4,3,10.3,33.4,G,gilgesh01
56,Rudy Gobert,20,0,2024-25,32,MIN,20,20,0,2.5,133,109,1.5,1,0.178,-0.8,1,0.2,0.4,16,12.1,25.5,18.9,7.7,0.6,4,18.2,11.9,C,goberru01
57,Jerami Grant,19,0,2024-25,30,POR,19,19,0,0.7,109,117,0.4,0.4,0.058,-0.6,-0.5,-1,0.2,12.2,1.2,10.7,5.7,11,1.4,2.9,8.5,21,F,grantje01
58,Draymond Green,19,0,2024-25,34,GSW,19,19,0,1.4,114,107,0.5,1,0.127,-0.8,2.7,1.8,0.5,13.1,3.3,18.8,11,27,1.7,3.3,22.5,14.6,F,greendr01
59,Javonte Green,12,0,2024-25,31,NOP,22,12,0,0.6,115,118,0.4,0.3,0.057,-2.7,0.1,-2.6,-0.1,11,4.5,11.5,7.8,5.3,2.3,2.8,8.2,11.6,F,greenja02
60,Jalen Green,21,0,2024-25,22,HOU,21,21,0,1.1,103,107,-0.1,1.2,0.075,-0.7,0.2,-0.5,0.2,12.6,1.6,13.4,7.5,12.5,1.4,0.9,12.4,26.2,G,greenja05
