Rk,Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
248,Tim Hardaway Jr.,12,0,2023-24,31,DAL,79,12,0,2.2,109,119,0.8,1.4,0.05,-0.8,-2.1,-2.9,-0.5,12.1,1.1,11.9,6.5,9.2,1,0.2,6.2,22.6,G,hardati02
249,James Harden,72,0,2023-24,34,LAC,72,72,0,8.4,125,116,5.9,2.5,0.163,3.8,0.3,4.1,3.8,18.6,1.6,14.8,8.4,33.6,1.5,2.1,16,20.6,G,hardeja01
250,Gary Harris,27,0,2023-24,29,ORL,54,27,0,2.7,120,114,1.1,1.5,0.099,-2.3,1.1,-1.2,0.3,9.4,2.2,6.1,4.1,9.1,1.9,1,8.9,11.7,G,harriga01
251,Tobias Harris,70,0,2023-24,31,PHI,70,70,0,5.9,118,114,3.2,2.7,0.121,1,-0.1,0.9,1.7,16.5,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,F,harrito02
252,Isaiah Hartenstein,49,0,2023-24,25,NYK,75,49,0,8.1,136,108,4.6,3.5,0.204,0.7,2.8,3.5,2.6,18.9,14.4,22.7,18.5,13.5,2.3,4.2,17.6,12,F,harteis01
253,Josh Hart,42,0,2023-24,28,NYK,81,42,0,5.7,115,113,2,3.6,0.1,-1.3,1.4,0,1.4,11.8,5.3,22.8,14,16.3,1.4,0.8,13.9,13.5,G,hartjo01
254,Sam Hauser,13,0,2023-24,26,BOS,79,13,0,4.9,126,114,2.7,2.1,0.134,1.2,0,1.2,1.4,13,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15,F,hausesa01
255,Jordan Hawkins,10,0,2023-24,21,NOP,67,10,0,1.3,109,117,0.3,1,0.053,-1.3,-1.7,-3.1,-0.3,10.2,2.8,11.3,7.1,8.2,0.8,0.6,7.5,19.9,G,hawkijo01
256,Killian Hayes,31,0,2023-24,22,DET,42,31,0,0.7,106,119,0,0.7,0.032,-2.9,0.2,-2.7,-0.2,10.5,1.2,12.2,6.6,27.8,1.7,1.7,14.3,15.1,G,hayeski01
257,Scoot Henderson,32,0,2023-24,19,POR,62,32,0,-1.7,97,120,-2.5,0.9,-0.045,-3.5,-2.3,-5.8,-1.7,9.5,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,G,hendesc01
258,Taylor Hendricks,23,0,2023-24,20,UTA,40,23,0,1.2,117,119,0.7,0.6,0.07,-1.3,-0.4,-1.6,0.1,11.8,6,17.7,11.9,5,1.6,3.1,9.7,13.7,G,hendrita0
259,Tyler Herro,40,0,2023-24,24,MIA,42,40,0,2,108,114,0.4,1.6,0.068,1.5,-0.7,0.8,1,15.7,1.5,16.5,8.9,22.4,1.1,0.2,10.6,27.8,G,herroty01
260,Buddy Hield,42,0,2023-24,31,INDPHI,84,42,0,3.5,114,118,1.9,1.6,0.077,1,-0.6,0.4,1.3,13.3,3.1,10.9,7,14.5,1.6,1.6,10.5,19.2,G-F,hieldbu01
261,Haywood Highsmith,26,0,2023-24,27,MIA,66,26,0,3.1,118,112,1.1,1.9,0.108,-1.8,1.1,-0.7,0.5,11.1,5.3,12.1,8.7,7.2,1.9,2.1,9,12.4,F,highsha01
262,Jrue Holiday,69,0,2023-24,33,BOS,69,69,0,6.3,121,113,3.3,3,0.133,1,1.1,2.1,2.4,14.4,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,G,holidjr01
263,Richaun Holmes,10,0,2023-24,30,DALWAS,40,10,0,1.3,123,116,0.8,0.5,0.114,-2.4,-0.8,-3.3,-0.2,14.5,13.7,21.8,17.7,6,0.9,2.9,12.5,14.7,C-F,holmeri01
264,Chet Holmgren,82,0,2023-24,21,OKC,82,82,0,8.9,122,108,4.6,4.4,0.178,1.8,1.5,3.4,3.3,20.4,6.2,23.1,15,11.6,1.1,7.3,10.9,21.6,F-C,holmgch01
265,Al Horford,33,0,2023-24,37,BOS,65,33,0,6.2,135,111,3.5,2.7,0.172,1.7,2,3.6,2.5,15,5.3,19.7,12.8,12.3,1.1,3.1,10,12,C-F,horfoal01
266,Talen Horton-Tucker,11,0,2023-24,23,UTA,51,11,0,0.8,108,120,0.3,0.5,0.039,-0.9,-0.4,-1.2,0.2,13.4,2.3,10.8,6.6,25.5,2.2,1.7,11.2,24,G-F,hortota01
267,Caleb Houstan,13,0,2023-24,21,ORL,59,13,0,1.5,119,116,0.7,0.8,0.089,-1.4,-0.5,-1.9,0,8.3,4,8.1,6.1,4.8,0.9,0.5,6.9,12.5,G-F,houstca01
268,Kevin Huerter,59,0,2023-24,25,SAC,64,59,0,2.9,116,116,1.5,1.4,0.089,-0.5,-0.4,-0.8,0.5,12.4,2.7,13.6,8,14.4,1.4,1.3,8.4,17.3,G,huertke01
269,De'Andre Hunter,37,0,2023-24,26,ATL,57,37,0,2.2,115,121,1.6,0.6,0.062,-0.9,-1.5,-2.4,-0.2,12.7,1.9,12.9,7.2,7.3,1.1,0.9,10,20.6,F,huntede01
270,Brandon Ingram,64,0,2023-24,26,NOP,64,64,0,5.1,115,114,2.7,2.4,0.117,1.4,-0.3,1.2,1.7,18.2,2.3,14.7,8.6,26.7,1.2,1.9,12.4,27.2,F,ingrabr01
271,Kyrie Irving,58,0,2023-24,31,DAL,58,58,0,6.9,122,116,4.9,2,0.163,4.8,0.1,4.9,3.6,21.9,2.4,13.2,7.8,23.8,1.7,1.2,8,28.1,G,irvinky01
272,Jaden Ivey,61,0,2023-24,21,DET,77,61,0,0.5,104,121,-0.5,1,0.01,-1.4,-1.7,-3.1,-0.6,12.4,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,G,iveyja01
273,GG Jackson II,18,0,2023-24,19,MEM,48,18,0,1.2,107,117,0.2,1.1,0.048,-0.2,-1.8,-2,0,13.7,4.5,13.2,8.7,8,1.1,1.8,9.3,24.2,F,jacksgg01
274,Jaren Jackson Jr.,66,0,2023-24,24,MEM,66,66,0,3,107,113,0.2,2.8,0.067,0,0.4,0.4,1.3,17.4,4.2,15,9.4,13.1,1.8,4.7,10.6,30.4,F,jacksja02
275,Reggie Jackson,23,0,2023-24,33,DEN,82,23,0,2.1,109,117,0.6,1.5,0.056,-1.8,-1.5,-3.2,-0.6,11.7,2.1,7.2,4.7,23,1.2,0.6,11.7,21.7,G,jacksre01
276,Trayce Jackson-Davis,16,0,2023-24,23,GSW,68,16,0,4.8,136,112,3.2,1.6,0.205,1.5,1.2,2.8,1.4,21.6,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,F,jackstr02
277,LeBron James,71,1,2023-24,39,LAL,71,71,1,8.5,120,114,5.7,2.8,0.164,5.5,0.9,6.5,5.4,23.7,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,F-G,jamesle01
278,Jaime Jaquez Jr.,20,0,2023-24,22,MIA,75,20,0,4,112,113,1.4,2.7,0.092,-2.2,0.3,-1.9,0.1,12.9,4.4,11,7.6,13.9,1.8,0.9,12.4,18.7,G-F,jaqueja01
279,Trey Jemison,14,0,2023-24,24,MEMWAS,25,14,0,0.9,111,115,0.3,0.6,0.073,-4.7,-0.4,-5.1,-0.5,11.8,11.7,13.9,12.8,7.1,1,4.6,18.8,13.5,C,jemistr01
280,Cameron Johnson,47,0,2023-24,27,BRK,58,47,0,3.3,118,117,2,1.3,0.1,0.9,-0.5,0.4,1,14.5,3.7,13.8,8.6,12.9,1.5,0.8,7.9,19.6,F,johnsca02
281,Jalen Johnson,52,0,2023-24,22,ATL,56,52,0,3.8,117,116,2.1,1.7,0.098,0.4,0.8,1.2,1.5,16.3,4.1,24.8,14.1,15.4,1.7,2.2,11.6,19.1,F,johnsja05
282,Keldon Johnson,27,0,2023-24,24,SAS,69,27,0,3,112,118,1.5,1.5,0.071,-0.3,-1.4,-1.7,0.2,14.2,5,15.1,10,14.2,1.2,0.8,9.4,21.9,G,johnske04
283,Nikola Jokić,79,1,2023-24,28,DEN,79,79,1,17,131,108,12,5.1,0.299,9,4.2,13.2,10.6,31,9.3,29.6,19.8,42,2,2.1,12.9,29.3,C-F,jokicni01
284,Derrick Jones Jr.,66,0,2023-24,26,DAL,76,66,0,3.1,116,116,1.5,1.6,0.083,-1.3,-0.3,-1.5,0.2,11.7,5,10.3,7.7,5.5,1.4,2.5,10.5,14.9,F,jonesde02
285,Herbert Jones,76,0,2023-24,25,NOP,76,76,0,6.3,124,113,3.3,3,0.131,-0.9,1.5,0.6,1.6,13.2,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,F,joneshe01
286,Tre Jones,48,0,2023-24,24,SAS,77,48,0,4.9,123,118,3.4,1.6,0.111,-0.4,0.1,-0.4,0.9,14.7,2.9,11.8,7.3,30.8,1.7,0.3,15.1,15.2,G,jonestr01
287,Tyus Jones,66,0,2023-24,27,WAS,66,66,0,4.5,126,121,3.9,0.7,0.113,1.5,-0.9,0.7,1.3,16.5,1.1,9,5,34.6,1.7,0.8,8.8,16.3,G,jonesty01
288,Nikola Jović,38,0,2023-24,20,MIA,46,38,0,1.9,113,111,0.6,1.3,0.103,-0.9,1.3,0.3,0.5,12.8,3.1,21.3,12.1,14.7,1.4,1.5,12.2,17.1,G-F,jovicni01
289,Luke Kennard,22,0,2023-24,27,MEM,39,22,0,2.1,121,119,1.4,0.7,0.099,0.6,-0.9,-0.3,0.4,13.1,1.2,11.6,6.2,20.8,1,0.2,13.9,16.7,G,kennalu01
290,Walker Kessler,22,0,2023-24,22,UTA,64,22,0,4.1,128,114,2.4,1.7,0.131,-0.4,1.3,0.9,1.1,18,12.3,23.1,17.7,5.6,1,9.2,14.4,12.8,C,kesslwa01
291,Corey Kispert,22,0,2023-24,24,WAS,80,22,0,2.1,114,123,1.7,0.4,0.048,-0.2,-2,-2.1,-0.1,12.8,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,G-F,kispeco01
292,Kevin Knox,11,0,2023-24,24,DET,31,11,0,0.4,109,121,0.1,0.2,0.033,-2.8,-1.8,-4.6,-0.4,9.9,3.5,11.5,7.5,5.9,1.1,1.1,10.1,16.6,F,knoxke01
293,John Konchar,23,0,2023-24,27,MEM,55,23,0,2.2,114,112,0.5,1.7,0.091,-2.6,2.2,-0.4,0.5,11.4,6.5,18,12,13,2.1,4.1,17.4,9.7,G,konchjo01
294,Vit Krejci,14,0,2023-24,23,ATL,22,14,0,0.6,122,122,0.5,0.1,0.056,-3.3,-0.4,-3.7,-0.2,8.4,2.1,8.6,5.2,11.6,1.2,1,15.8,9.8,G,krejcvi01
295,Jonathan Kuminga,46,0,2023-24,21,GSW,74,46,0,4.6,117,116,2.7,1.9,0.113,0,-0.4,-0.4,0.8,17,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,F,kuminjo01
296,Kyle Kuzma,70,0,2023-24,28,WAS,70,70,0,0.2,103,120,-1,1.1,0.004,0.5,-1.6,-1.1,0.5,15.7,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,F,kuzmaky01
297,Zach LaVine,23,0,2023-24,28,CHI,25,23,0,1.5,113,118,0.8,0.6,0.08,0.8,-0.7,0.1,0.5,15.1,1,15.8,8.3,16.8,1.2,0.9,11,23.8,G-F,lavinza01
298,Kawhi Leonard,68,1,2023-24,32,LAC,68,68,1,8.9,124,114,6,2.9,0.184,4.8,0.6,5.5,4.4,23.2,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,F,leonaka01
299,Caris LeVert,10,0,2023-24,29,CLE,68,10,0,3.6,110,113,1,2.6,0.088,-0.6,0.8,0.2,1.1,14.6,2.3,13.7,8,25.7,1.9,1.6,11.4,23.1,G-F,leverca01
300,Damian Lillard,73,1,2023-24,33,MIL,73,73,1,7.7,120,118,5.8,1.9,0.143,3.4,-1.3,2.1,2.7,19.6,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,G,lillada01
301,Dereck Lively II,42,0,2023-24,19,DAL,55,42,0,4.9,139,112,3.1,1.8,0.183,-0.3,0.8,0.5,0.8,18.1,11.4,20.4,16,6.4,1.3,5.2,13.1,12.6,C,livelde01
302,Kevon Looney,36,0,2023-24,27,GSW,74,36,0,4,134,113,2.5,1.6,0.162,-0.8,1.4,0.6,0.8,15.1,13.1,24.6,18.9,14.1,1.1,2.2,15.6,11.3,F-C,looneke01
303,Brook Lopez,79,0,2023-24,35,MIL,79,79,0,5.9,121,114,3.1,2.8,0.117,0.2,0.8,1,1.8,14.8,5.4,13,9.3,7.1,0.9,6.7,8.8,16,C,lopezbr01
304,Kyle Lowry,55,0,2023-24,37,MIAPHI,60,55,0,3.5,118,114,1.6,1.9,0.1,-1.9,0.9,-1,0.4,10.9,2.2,10.8,6.4,20.1,1.7,1.2,17.2,12.9,G,lowryky01
305,Terance Mann,71,0,2023-24,27,LAC,75,71,0,4.2,127,119,3,1.2,0.106,-0.8,-0.7,-1.5,0.2,12,5.4,9.7,7.7,8.5,1.1,0.7,8.2,13.6,G-F,mannte01
306,Tre Mann,28,0,2023-24,22,CHOOKC,41,28,0,1.2,110,118,0.4,0.8,0.058,-1.7,0.4,-1.3,0.2,13.7,2.2,15,8.5,24.1,2.5,0.3,16,18.2,G,manntr01
307,Lauri Markkanen,55,0,2023-24,26,UTA,55,55,0,6.2,128,120,5.2,0.9,0.163,5.1,-1.5,3.6,2.6,21.5,7.4,19.6,13.6,9.5,1.3,1.3,7.1,25,F-C,markkla01
308,Caleb Martin,23,0,2023-24,28,MIA,64,23,0,2.4,107,113,0.2,2.2,0.066,-2.2,0.2,-2,0,10.8,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,F,martica02
309,Cody Martin,22,0,2023-24,28,CHO,28,22,0,-0.2,96,118,-0.7,0.5,-0.012,-4.1,0.6,-3.5,-0.3,9.2,2.8,13.9,8.1,19.1,2.1,2.2,16.1,16.1,G-F,martico01
310,Bennedict Mathurin,19,0,2023-24,21,IND,59,19,0,1.4,110,121,0.8,0.7,0.045,-1.2,-2.3,-3.4,-0.6,13,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,G-F,mathube01
311,Tyrese Maxey,70,1,2023-24,23,PHI,70,70,1,8.1,121,117,5.9,2.1,0.147,4.1,-1,3.1,3.4,19.8,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28,G,maxeyty01
312,Miles McBride,14,0,2023-24,23,NYK,68,14,0,3.6,126,116,2.4,1.3,0.131,-0.4,0.4,-0.1,0.6,13.1,2.6,5.9,4.2,12.2,1.9,0.5,5.9,16.4,G,mcbrimi01
313,CJ McCollum,66,0,2023-24,32,NOP,66,66,0,5.9,118,114,3.5,2.4,0.132,3.3,-0.3,3.1,2.8,17.9,2,12.6,7.4,21.4,1.4,1.9,9,24.7,G,mccolcj01
314,Jaden McDaniels,71,0,2023-24,23,MIN,72,71,0,3.4,108,112,0.3,3.1,0.077,-3.3,0.7,-2.6,-0.3,9.4,3.2,8.7,6,6.8,1.5,1.8,11.6,15.7,F,mcdanja02
315,Bryce McGowens,14,0,2023-24,21,CHO,59,14,0,0.6,111,122,0.4,0.3,0.034,-3.7,-1.1,-4.9,-0.6,9.3,2.1,11.2,6.5,8.1,1.2,1.1,10.1,14.9,G-F,mcgowbr01
316,De'Anthony Melton,33,0,2023-24,25,PHI,38,33,0,2.1,113,113,0.8,1.4,0.099,-0.7,1.2,0.5,0.7,13.4,3,12.4,7.6,15.4,2.9,1.4,9,18.3,G,meltode01
317,Chimezie Metu,12,0,2023-24,26,DETPHO,51,12,0,1.5,112,114,0.5,1.1,0.085,-2.1,0.8,-1.3,0.2,13.3,5.5,19.6,12.7,7.4,2.4,1.6,16,16.2,F-C,metuch01
318,Vasilije Micić,21,0,2023-24,30,CHOOKC,60,21,0,0.4,105,121,-0.1,0.4,0.015,-2.5,-2.2,-4.6,-0.8,10.7,1.3,7.1,4.2,31.1,1.3,0.6,19.7,18.8,G,micicva01
319,Khris Middleton,55,0,2023-24,32,MIL,55,55,0,3.4,115,116,1.9,1.4,0.109,1.1,0,1.1,1.2,17,3,15.7,9.5,28.9,1.6,0.9,15.4,23.9,F-G,middlkh01
320,Brandon Miller,68,0,2023-24,21,CHO,74,68,0,0.8,105,121,-0.3,1,0.015,-0.9,-1.6,-2.6,-0.3,13,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,F-G,millebr02
321,Donovan Mitchell,55,1,2023-24,27,CLE,55,55,1,6.4,117,111,3.6,2.9,0.159,4.6,1.2,5.8,3.9,22.1,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,G,mitchdo01
322,Evan Mobley,50,0,2023-24,22,CLE,50,50,0,5.5,122,109,2.8,2.7,0.174,0.9,2,2.9,1.9,20.1,8.2,25.9,17.2,15.9,1.5,4.2,12.5,20.6,F-C,mobleev01
323,Trey Murphy III,23,0,2023-24,23,NOP,57,23,0,5.4,127,114,3.4,2,0.154,2.5,0,2.5,1.9,16.3,2.8,15.5,9.2,10.2,1.5,1.6,4.7,18.6,F,murphtr02
324,Dejounte Murray,78,0,2023-24,27,ATL,78,78,0,4.9,114,119,3.3,1.6,0.084,2.3,-0.6,1.7,2.6,17.7,2.3,14.4,8.1,27.9,1.9,0.8,11.3,26.6,G,murrade01
325,Jamal Murray,59,0,2023-24,26,DEN,59,59,0,5.9,119,114,3.8,2.1,0.153,4.5,-0.4,4.1,2.9,20.7,2.6,11.6,7.2,31.2,1.5,1.8,10.5,27.9,G,murraja01
326,Keegan Murray,77,0,2023-24,23,SAC,77,77,0,5.2,117,116,2.6,2.6,0.096,-0.4,-0.5,-0.9,0.8,13.3,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,F,murrake02
327,Kris Murray,29,0,2023-24,23,POR,62,29,0,0.7,103,118,-0.4,1,0.024,-3.5,-0.2,-3.6,-0.6,9,6.7,12.3,9.3,8.4,1.9,1.4,12.3,14.1,F,murrakr01
328,Andrew Nembhard,47,0,2023-24,24,IND,68,47,0,2,114,121,1.3,0.7,0.057,-1.6,-0.5,-2.2,-0.1,11.3,2.4,7,4.7,20,1.8,0.3,15.6,16,G,nembhan01
329,Aaron Nesmith,47,0,2023-24,24,IND,72,47,0,4.1,123,119,2.8,1.3,0.098,-0.3,-0.2,-0.5,0.8,12.8,3.6,12,7.8,6.6,1.5,2,8.4,16,G-F,nesmiaa01
330,Georges Niang,10,0,2023-24,30,CLE,82,10,0,2.4,109,115,0.5,2,0.064,-2.5,-0.4,-2.9,-0.4,9.9,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,F,niangge01
331,Jusuf Nurkić,76,0,2023-24,29,PHO,76,76,0,5.8,114,108,2,3.8,0.133,-1,2.1,1.1,1.6,17.4,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,C,nurkiju01
332,Josh Okogie,11,0,2023-24,25,PHO,60,11,0,2.1,119,114,1,1.1,0.104,-1.3,0.8,-0.5,0.4,12,9.2,9,9.1,8.4,2.4,2.2,12.5,13,G,okogijo01
333,Isaac Okoro,42,0,2023-24,23,CLE,69,42,0,4.2,121,115,2.1,2,0.106,-1.8,0.7,-1.1,0.4,11.4,4,8.2,6.1,9.5,1.5,1.6,9.1,13.9,G-F,okorois01
334,Kelly Olynyk,27,0,2023-24,32,TORUTA,78,27,0,4.9,124,118,3.5,1.4,0.133,0.7,1.1,1.8,1.7,17.4,6.7,19,12.9,27.6,2,1.5,20.9,17.5,C-F,olynyke01
335,Royce O'Neale,14,0,2023-24,30,BRKPHO,79,14,0,3.4,115,115,1.3,2.1,0.085,-1,1,0,1,11.1,3.4,17.9,10.7,15,1.5,2,11.6,13.9,F,onealro01
336,Kelly Oubre Jr.,52,0,2023-24,28,PHI,68,52,0,3,109,114,0.6,2.4,0.07,-1.5,-0.7,-2.3,-0.1,13.5,5,13.5,9.2,7.3,1.8,2.1,8.2,22.4,F,oubreke01
337,Chris Paul,18,0,2023-24,38,GSW,58,18,0,4.3,124,115,2.6,1.7,0.136,-0.2,1.2,1,1.2,14.7,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,G,paulch01
338,Cameron Payne,10,0,2023-24,29,MILPHI,78,10,0,2.4,116,118,1.4,1,0.089,-0.5,-0.6,-1.1,0.3,12.8,1.8,8.1,4.9,21.9,1.6,0.8,11.4,19.1,G,payneca01
339,Scotty Pippen Jr.,16,0,2023-24,23,MEM,21,16,0,1,110,112,0.3,0.7,0.09,-0.1,1.4,1.3,0.4,16.4,4.4,9.7,7,30.7,3.3,1.8,19.8,23,G,pippesc02
340,Mason Plumlee,11,0,2023-24,33,LAC,46,11,0,2,125,113,1.2,0.9,0.146,-1.1,0.4,-0.8,0.2,15.8,10.4,28.2,19.6,10.8,1,2.3,15.5,15.1,C-F,plumlma01
341,Brandin Podziemski,28,0,2023-24,20,GSW,74,28,0,4.1,118,115,2.1,2,0.1,-0.5,0.4,-0.1,0.9,13,6.6,16.7,11.7,18.1,1.5,0.6,12.2,15.4,G,podzibr01
342,Jakob Poeltl,50,0,2023-24,28,TOR,50,50,0,3.8,125,115,2.4,1.4,0.138,-0.3,1,0.7,0.9,18.9,11.9,24.1,17.9,14,1.3,5.1,15.3,16.2,C,poeltja01
343,Jordan Poole,66,0,2023-24,24,WAS,78,66,0,-0.6,102,121,-1.5,0.8,-0.013,-2,-1.9,-3.9,-1.2,12.1,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,G,poolejo01
344,Michael Porter Jr.,81,0,2023-24,25,DEN,81,81,0,6.2,117,114,3.1,3.1,0.115,1.2,-1.2,0.1,1.3,15.5,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,F,portemi01
345,Kristaps Porziņģis,57,0,2023-24,28,BOS,57,57,0,7.9,128,109,4.9,3,0.226,3.5,1.6,5.1,3,23.2,6.5,19.1,13.1,10,1.2,5.8,9.1,25.1,F-C,porzikr01
346,Taurean Prince,49,0,2023-24,29,LAL,78,49,0,1.9,108,118,0.3,1.7,0.043,-2.6,-0.2,-2.8,-0.4,8.8,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,F,princta02
347,Immanuel Quickley,38,0,2023-24,24,NYKTOR,68,38,0,4.7,119,119,3.5,1.2,0.115,2.2,-0.9,1.3,1.7,16.7,0.9,13.7,7.2,24.6,1.2,0.5,9.2,23.8,G,quickim01
348,Julius Randle,46,1,2023-24,29,NYK,46,46,1,3.8,113,114,1.9,1.9,0.113,2.2,-0.3,1.9,1.6,18.9,6.8,22.4,14.6,22.8,0.8,0.7,14.1,29.9,F-C,randlju01
349,Duop Reath,20,0,2023-24,27,POR,68,20,0,2.4,116,117,1.4,1,0.095,-0.2,-0.7,-0.9,0.3,15.1,8.1,15.4,11.5,8.9,1.3,2.8,8.8,20.7,C,reathdu01
350,Austin Reaves,57,0,2023-24,25,LAL,82,57,0,5.9,119,118,3.9,2,0.108,0.9,-0.4,0.4,1.6,15.5,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,G,reaveau01
351,Cam Reddish,26,0,2023-24,24,LAL,48,26,0,0.6,102,116,-0.3,0.9,0.03,-4,0.8,-3.2,-0.3,7.7,3.2,7.7,5.6,6,2.3,1.2,10.7,12.7,F,reddica01
352,Paul Reed,24,0,2023-24,24,PHI,82,24,0,5.1,123,110,2.5,2.6,0.154,-0.6,1,0.4,0.9,17.4,13.2,20.9,16.9,9.8,2.1,4.8,11.5,15.9,F,reedpa01
353,Naz Reid,14,0,2023-24,24,MIN,81,14,0,4.9,111,107,1.1,3.8,0.12,0.4,1.1,1.5,1.7,16,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,F,reidna01
354,Nick Richards,51,0,2023-24,26,CHO,67,51,0,5.1,134,118,3.8,1.3,0.14,-1.6,-0.7,-2.3,-0.1,16.7,10.7,24.2,17.2,4.5,0.7,3.9,13.8,13.3,F-C,richani01
355,Duncan Robinson,36,0,2023-24,29,MIA,68,36,0,3.6,114,115,1.6,2,0.091,-0.5,-0.4,-0.9,0.6,12.2,0.9,9.5,5.1,15.1,1.2,0.8,11.7,19,G-F,robindu01
356,Mitchell Robinson,21,0,2023-24,25,NYK,31,21,0,2.5,128,109,1.2,1.3,0.155,-0.3,0.4,0,0.4,16.1,20.7,17.7,19.2,3.1,2.4,4.3,13.8,10.2,C,robinmi01
357,David Roddy,13,0,2023-24,22,MEMPHO,65,13,0,0.1,98,117,-0.9,1,0.004,-4,-1,-5,-0.9,8.7,4.8,15.2,9.8,10.3,1.1,0.9,11.5,18.1,F,roddyda01
358,Terry Rozier,60,0,2023-24,29,CHOMIA,61,60,0,3.9,114,118,2.3,1.6,0.091,2.2,-0.7,1.5,1.8,17.3,1.9,12,6.8,27.5,1.5,1,8.9,25.9,G,roziete01
359,Rayan Rupert,12,0,2023-24,19,POR,39,12,0,-0.1,98,120,-0.4,0.3,-0.009,-5.6,-1.2,-6.7,-0.8,5.8,4,12.8,8.1,13.5,0.9,0.4,15.3,13.6,G,ruperra01
360,D'Angelo Russell,69,0,2023-24,27,LAL,76,69,0,5.1,116,118,3.3,1.8,0.099,1.7,-0.8,0.9,1.8,16,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23,G,russeda01
361,Domantas Sabonis,82,0,2023-24,27,SAC,82,82,0,12.6,127,112,8.6,4,0.206,4,2.4,6.5,6.2,23.2,11,32.3,21.4,33.9,1.2,1.5,17.9,22.2,C-F,sabondo01
362,Marcus Sasser,11,0,2023-24,23,DET,71,11,0,0.9,108,120,0.3,0.6,0.033,-1.5,-1.1,-2.6,-0.2,11.8,0.9,9.6,5.2,25.4,1.6,0.8,14.3,19.9,G,sassema01
363,Dennis Schröder,58,0,2023-24,30,BRKTOR,80,58,0,3.3,114,121,2.3,1,0.063,-0.5,-1.3,-1.8,0.1,13.3,1.7,9.2,5.3,28,1.2,0.6,13,20.3,G,schrode01
364,Alperen Sengun,63,0,2023-24,21,HOU,63,63,0,6.9,118,111,3.8,3.1,0.163,3.1,1.7,4.9,3.5,22,9.5,21.5,15.4,25.2,1.8,2.1,12.5,27,C-F,sengual01
365,Brice Sensabaugh,11,0,2023-24,20,UTA,32,11,0,-0.3,99,122,-0.5,0.2,-0.024,-3.3,-2.1,-5.5,-0.5,8.6,3,16.1,9.6,13,1.1,0.9,16.6,20.3,F,sensabr01
366,Collin Sexton,51,0,2023-24,25,UTA,78,51,0,5.5,122,123,5.2,0.3,0.127,3.8,-1.9,1.9,2,19.9,3.8,7.1,5.4,29.5,1.4,0.8,12.1,27.5,G,sextoco01
367,Shaedon Sharpe,25,0,2023-24,20,POR,32,25,0,0.5,105,119,-0.2,0.6,0.022,-1.9,-0.9,-2.8,-0.2,11.4,4.2,13.3,8.5,13.8,1.3,1,12.9,22.4,G,sharpsh01
368,Pascal Siakam,80,0,2023-24,29,INDTOR,80,80,0,6.9,121,119,5.4,1.5,0.124,2.6,-0.7,1.9,2.7,19.7,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,F-C,siakapa01
369,Ben Simmons,12,0,2023-24,27,BRK,15,12,0,1,121,112,0.5,0.5,0.133,-0.5,2.9,2.4,0.4,16.3,9.2,27.6,18.1,33.2,1.7,2.3,25.1,13,G-F,simmobe01
370,Anfernee Simons,46,0,2023-24,24,POR,46,46,0,2.2,113,121,1.7,0.5,0.068,2.7,-2.5,0.2,0.8,15.9,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28,G,simonan01
371,Jericho Sims,11,0,2023-24,25,NYK,45,11,0,1.5,141,114,0.9,0.7,0.127,-2.4,0.7,-1.8,0,10.9,10.7,17.5,14.1,5.4,0.7,3,19.6,6,F,simsje01
