Player,GS,AS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
Victor Wembanyama,17,0,2024-25,21,SAS,17,17,0,551,150,310,95,153,55,157,53,62,35,139,174,61,22,60,61,36,408,0.484,0.621,0.35,0.855,0.605,0.573,C-F,wembavi01
Coby White,21,0,2024-25,24,CHI,21,21,0,682,127,292,58,110,69,182,61,70,7,71,78,95,24,5,52,50,384,0.435,0.527,0.379,0.871,0.595,0.553,G,whiteco01
Derrick White,20,0,2024-25,30,BOS,20,20,0,683,128,268,51,84,77,184,34,40,25,71,96,92,15,20,29,49,367,0.478,0.607,0.418,0.85,0.643,0.621,G,whitede01
Andrew Wiggins,17,0,2024-25,29,GSW,17,17,0,489,102,222,64,130,38,92,54,71,29,45,74,40,13,13,16,31,296,0.459,0.492,0.413,0.761,0.584,0.545,F-G,wiggian01
Jalen Williams,20,0,2024-25,23,OKC,20,20,0,641,168,333,127,228,41,105,53,66,18,107,125,104,42,19,45,58,430,0.505,0.557,0.39,0.803,0.594,0.566,G,willija06
Patrick Williams,15,0,2024-25,23,CHI,15,15,0,433,50,133,22,62,28,71,21,25,16,59,75,35,15,8,29,21,149,0.376,0.355,0.394,0.84,0.517,0.481,F,willipa01
Trae Young,21,0,2024-25,26,ATL,21,21,0,750,133,343,77,169,56,174,117,131,14,67,81,256,27,3,100,45,439,0.388,0.456,0.322,0.893,0.548,0.469,G,youngtr01
Ivica Zubac,22,0,2024-25,27,LAC,22,22,0,719,150,247,150,247,0,0,36,67,89,183,272,54,13,22,48,49,336,0.607,0.607,,0.537,0.608,0.607,C,zubaciv01
Precious Achiuwa,18,0,2023-24,24,NYKTOR,74,18,0,1624,235,469,209,372,26,97,69,112,191,296,487,97,46,68,83,143,565,0.501,0.562,0.268,0.616,0.545,0.529,F,achiupr01
Bam Adebayo,71,1,2023-24,26,MIA,71,71,1,2416,530,1017,515,975,15,42,292,387,159,578,737,278,81,66,162,159,1367,0.521,0.528,0.357,0.755,0.576,0.529,C-F,adebaba01
Ochai Agbaji,28,0,2023-24,23,TORUTA,78,28,0,1641,178,433,116,222,62,211,37,56,74,142,216,83,47,44,64,117,455,0.411,0.523,0.294,0.661,0.497,0.483,G,agbajoc01
Santi Aldama,35,0,2023-24,23,MEM,61,35,0,1618,247,568,141,264,106,304,54,87,72,280,352,138,43,54,69,89,654,0.435,0.534,0.349,0.621,0.539,0.528,F,aldamsa01
Nickeil Alexander-Walker,20,0,2023-24,25,MIN,82,20,0,1921,236,538,105,203,131,335,52,65,35,132,167,204,64,42,76,143,655,0.439,0.517,0.391,0.8,0.578,0.56,G,alexani01
Grayson Allen,74,0,2023-24,28,PHO,75,74,0,2513,340,682,135,237,205,445,129,147,48,247,295,227,69,45,95,157,1014,0.499,0.57,0.461,0.878,0.679,0.649,G,allengr01
Jarrett Allen,77,0,2023-24,25,CLE,77,77,0,2442,519,819,519,813,0,6,233,314,243,568,811,210,53,81,121,147,1271,0.634,0.638,0,0.742,0.664,0.634,C-F,allenja01
Kyle Anderson,10,0,2023-24,30,MIN,79,10,0,1782,199,433,188,385,11,48,97,137,60,213,273,331,71,47,91,128,506,0.46,0.488,0.229,0.708,0.513,0.472,F-G,anderky01
Giannis Antetokounmpo,73,1,2023-24,29,MIL,73,73,1,2567,837,1369,803,1245,34,124,514,782,196,645,841,476,87,79,250,210,2222,0.611,0.645,0.274,0.657,0.649,0.624,F-G,antetgi01
OG Anunoby,50,0,2023-24,26,NYKTOR,50,50,0,1702,282,577,180,310,102,267,67,89,47,161,208,107,68,36,81,119,733,0.489,0.581,0.382,0.753,0.595,0.577,F,anunoog01
Deni Avdija,75,0,2023-24,23,WAS,75,75,0,2257,406,803,318,568,88,235,202,273,84,456,540,286,60,36,160,185,1102,0.506,0.56,0.374,0.74,0.597,0.56,G-F,avdijde01
Deandre Ayton,55,0,2023-24,25,POR,55,55,0,1784,427,749,426,739,1,10,65,79,176,433,609,90,56,42,99,109,920,0.57,0.576,0.1,0.823,0.587,0.571,C,aytonde01
Marvin Bagley III,25,0,2023-24,24,DETWAS,50,25,0,1053,239,408,230,385,9,23,96,126,130,182,312,55,20,33,59,81,583,0.586,0.597,0.391,0.762,0.629,0.597,F-C,baglema01
LaMelo Ball,22,0,2023-24,22,CHO,22,22,0,711,183,423,113,226,70,197,90,104,29,84,113,176,40,4,83,79,526,0.433,0.5,0.355,0.865,0.561,0.515,G,ballla01
Mo Bamba,17,0,2023-24,25,PHI,57,17,0,740,97,198,72,134,25,64,34,50,77,161,238,41,22,60,39,101,253,0.49,0.537,0.391,0.68,0.575,0.553,C,bambamo01
Paolo Banchero,80,1,2023-24,21,ORL,80,80,1,2799,640,1407,521,1056,119,351,405,559,82,472,554,431,71,47,247,153,1804,0.455,0.493,0.339,0.725,0.546,0.497,F,banchpa01
Desmond Bane,42,0,2023-24,25,MEM,42,42,0,1443,360,776,223,416,137,360,140,161,36,149,185,230,43,22,112,120,997,0.464,0.536,0.381,0.87,0.589,0.552,G,banede01
Harrison Barnes,82,0,2023-24,31,SAC,82,82,0,2381,347,732,198,347,149,385,157,196,67,182,249,99,54,12,58,98,1000,0.474,0.571,0.387,0.801,0.611,0.576,F,barneha02
Scottie Barnes,60,1,2023-24,22,TOR,60,60,1,2094,447,942,346,646,101,296,196,251,141,353,494,363,75,88,165,118,1191,0.475,0.536,0.341,0.781,0.566,0.528,G-F,barnesc01
RJ Barrett,58,0,2023-24,23,NYKTOR,58,58,0,1838,436,880,346,630,90,250,208,291,53,262,315,193,31,22,126,129,1170,0.495,0.549,0.36,0.715,0.58,0.547,G-F,barrerj01
Nicolas Batum,38,0,2023-24,35,LACPHI,60,38,0,1529,116,256,43,71,73,185,15,21,70,178,248,128,48,38,40,109,320,0.453,0.606,0.395,0.714,0.603,0.596,F-G,batumni01
Bradley Beal,53,0,2023-24,30,PHO,53,53,0,1767,377,735,276,500,101,235,109,134,54,178,232,265,52,27,131,127,964,0.513,0.552,0.43,0.813,0.607,0.582,G,bealbr01
Malik Beasley,77,0,2023-24,27,MIL,79,77,0,2337,320,722,96,180,224,542,25,35,41,249,290,108,59,9,54,158,889,0.443,0.533,0.413,0.714,0.603,0.598,G,beaslma01
Patrick Beverley,13,0,2023-24,35,MILPHI,73,13,0,1462,158,379,97,198,61,181,74,90,49,190,239,212,43,31,65,128,451,0.417,0.49,0.337,0.822,0.539,0.497,G,beverpa01
Saddiq Bey,51,0,2023-24,24,ATL,63,51,0,2062,290,697,177,339,113,358,170,203,167,244,411,92,51,11,54,88,863,0.416,0.522,0.316,0.837,0.549,0.497,F,beysa01
Goga Bitadze,33,0,2023-24,24,ORL,62,33,0,957,126,209,124,195,2,14,57,87,109,177,286,79,32,72,44,107,311,0.603,0.636,0.143,0.655,0.629,0.608,C,bitadgo01
Bismack Biyombo,27,0,2023-24,31,MEMOKC,40,27,0,791,74,131,74,131,0,0,26,54,62,147,209,53,11,37,42,89,174,0.565,0.565,,0.481,0.562,0.565,C-F,biyombi01
Anthony Black,33,0,2023-24,20,ORL,69,33,0,1164,115,247,78,153,37,94,49,80,33,106,139,91,35,21,56,110,316,0.466,0.51,0.394,0.613,0.56,0.54,G,blackan01
Bogdan Bogdanović,33,0,2023-24,31,ATL,79,33,0,2401,471,1100,231,459,240,641,151,164,53,219,272,247,96,26,112,179,1333,0.428,0.503,0.374,0.921,0.569,0.537,G,bogdabo01
Bojan Bogdanović,27,0,2023-24,34,DETNYK,57,27,0,1478,309,681,176,347,133,334,117,149,22,130,152,97,30,5,101,95,868,0.454,0.507,0.398,0.785,0.581,0.551,G-F,bogdabo02
Devin Booker,68,1,2023-24,27,PHO,68,68,1,2447,642,1305,490,887,152,418,405,457,56,252,308,472,61,28,178,206,1841,0.492,0.552,0.364,0.886,0.611,0.55,G,bookede01
Malaki Branham,29,0,2023-24,20,SAS,75,29,0,1594,271,628,178,360,93,268,55,63,28,120,148,156,27,8,91,94,690,0.432,0.494,0.347,0.873,0.526,0.506,G,branhma01
Mikal Bridges,82,0,2023-24,27,BRK,82,82,0,2854,564,1294,344,702,220,592,258,317,68,304,372,299,81,30,164,116,1606,0.436,0.49,0.372,0.814,0.56,0.521,F-G,bridgmi01
Miles Bridges,67,0,2023-24,25,CHO,69,67,0,2581,559,1210,402,760,157,450,174,211,71,434,505,231,65,33,138,118,1449,0.462,0.529,0.349,0.825,0.556,0.527,G-F,bridgmi02
Malcolm Brogdon,25,0,2023-24,31,POR,39,25,0,1121,218,496,136,297,82,199,95,116,28,120,148,214,27,8,60,58,613,0.44,0.458,0.412,0.819,0.56,0.522,G,brogdma01
Dillon Brooks,72,0,2023-24,28,HOU,72,72,0,2227,329,768,196,398,133,370,124,147,53,193,246,119,64,10,88,241,915,0.428,0.492,0.359,0.844,0.549,0.515,F-G,brookdi01
Bruce Brown,44,0,2023-24,27,INDTOR,67,44,0,1866,278,582,225,418,53,164,117,142,53,231,284,192,59,17,86,148,726,0.478,0.538,0.323,0.824,0.563,0.523,G-F,brownbr01
Jaylen Brown,70,1,2023-24,27,BOS,70,70,1,2343,627,1256,482,846,145,410,211,300,84,303,387,249,83,37,166,185,1610,0.499,0.57,0.354,0.703,0.58,0.557,F-G,brownja02
Troy Brown Jr.,15,0,2023-24,24,DETMIN,59,15,0,827,84,226,37,85,47,141,32,37,25,119,144,60,24,3,30,42,247,0.372,0.435,0.333,0.865,0.51,0.476,G-F,browntr01
Jalen Brunson,77,1,2023-24,27,NYK,77,77,1,2726,790,1648,579,1122,211,526,421,497,43,235,278,519,70,13,186,144,2212,0.479,0.516,0.401,0.847,0.592,0.543,G,brunsja01
Jimmy Butler,60,0,2023-24,34,MIA,60,60,0,2042,396,793,336,648,60,145,394,459,105,213,318,298,79,17,102,68,1246,0.499,0.519,0.414,0.858,0.626,0.537,F-G,butleji01
Kentavious Caldwell-Pope,76,0,2023-24,30,DEN,76,76,0,2402,270,587,145,279,125,308,101,113,31,152,183,183,98,42,75,151,766,0.46,0.52,0.406,0.894,0.602,0.566,G,caldwke01
Toumani Camara,49,0,2023-24,23,POR,70,49,0,1739,197,438,139,266,58,172,75,99,139,204,343,87,66,33,84,174,527,0.45,0.523,0.337,0.758,0.547,0.516,F,camarto01
Clint Capela,73,0,2023-24,29,ATL,73,73,0,1883,353,618,353,617,0,1,130,206,335,441,776,91,43,106,74,164,836,0.571,0.572,0,0.631,0.59,0.571,C,capelca01
Wendell Carter Jr.,48,0,2023-24,24,ORL,55,48,0,1406,223,425,159,254,64,171,93,134,112,269,381,95,35,28,68,121,603,0.525,0.626,0.374,0.694,0.623,0.6,C,cartewe01
Alex Caruso,57,0,2023-24,29,CHI,71,57,0,2040,253,541,117,208,136,333,73,96,62,211,273,247,120,70,102,181,715,0.468,0.563,0.408,0.76,0.613,0.593,G,carusal01
Julian Champagnie,59,0,2023-24,22,SAS,74,59,0,1468,164,402,63,125,101,277,75,92,42,164,206,103,48,42,57,77,504,0.408,0.504,0.365,0.815,0.57,0.534,F,champju02
Jordan Clarkson,19,0,2023-24,31,UTA,55,19,0,1682,337,816,246,507,91,309,177,201,49,139,188,277,35,6,146,81,942,0.413,0.485,0.294,0.881,0.521,0.469,G,clarkjo01
Nic Claxton,71,0,2023-24,24,BRK,71,71,0,2116,366,582,365,577,1,5,108,196,193,513,706,147,46,146,93,175,841,0.629,0.633,0.2,0.551,0.629,0.63,C,claxtni01
Amir Coffey,13,0,2023-24,26,LAC,70,13,0,1460,166,352,96,168,70,184,61,71,29,119,148,76,41,14,33,102,463,0.472,0.571,0.38,0.859,0.604,0.571,G,coffeam01
John Collins,66,0,2023-24,26,UTA,68,66,0,1901,397,746,311,514,86,232,147,185,157,418,575,77,40,61,98,191,1027,0.532,0.605,0.371,0.795,0.621,0.59,F,collijo01
Zach Collins,29,0,2023-24,26,SAS,69,29,0,1526,298,616,240,435,58,181,122,162,118,252,370,194,34,52,132,206,776,0.484,0.552,0.32,0.753,0.565,0.531,C-F,colliza01
Mike Conley,76,0,2023-24,36,MIN,76,76,0,2193,294,644,115,239,179,405,102,112,37,181,218,449,88,17,102,128,869,0.457,0.481,0.442,0.911,0.627,0.595,G,conlemi01
Bilal Coulibaly,15,0,2023-24,19,WAS,63,15,0,1715,188,432,124,247,64,185,92,131,56,200,256,110,57,48,87,137,532,0.435,0.502,0.346,0.702,0.543,0.509,F,coulibi01
Torrey Craig,14,0,2023-24,33,CHI,53,14,0,1049,108,251,48,98,60,153,27,36,69,148,217,58,30,21,32,110,303,0.43,0.49,0.392,0.75,0.568,0.55,G-F,craigto01
Jae Crowder,25,0,2023-24,33,MIL,50,25,0,1156,114,270,56,104,58,166,26,36,31,130,161,66,38,9,23,74,312,0.422,0.538,0.349,0.722,0.546,0.53,F,crowdja01
Cade Cunningham,62,0,2023-24,22,DET,62,62,0,2074,524,1167,405,832,119,335,238,274,33,235,268,464,56,22,212,153,1405,0.449,0.487,0.355,0.869,0.546,0.5,G,cunnica01
Stephen Curry,74,1,2023-24,35,GSW,74,74,1,2421,650,1445,293,569,357,876,299,324,37,293,330,379,54,28,210,117,1956,0.45,0.515,0.408,0.923,0.616,0.573,G,curryst01
Dyson Daniels,16,0,2023-24,20,NOP,61,16,0,1358,139,311,97,176,42,135,34,53,62,174,236,164,85,25,59,101,354,0.447,0.551,0.311,0.642,0.529,0.514,G,daniedy01
Anthony Davis,76,1,2023-24,30,LAL,76,76,1,2700,713,1283,684,1176,29,107,421,516,239,722,961,266,91,178,159,177,1876,0.556,0.582,0.271,0.816,0.621,0.567,F-C,davisan02
DeMar DeRozan,79,0,2023-24,34,CHI,79,79,0,2989,650,1355,575,1130,75,225,522,612,43,297,340,421,90,45,135,161,1897,0.48,0.509,0.333,0.853,0.584,0.507,G-F,derozde01
Gradey Dick,17,0,2023-24,20,TOR,60,17,0,1268,189,445,101,204,88,241,44,51,27,105,132,68,34,2,50,87,510,0.425,0.495,0.365,0.863,0.546,0.524,G,dickgr01
Spencer Dinwiddie,52,0,2023-24,30,BRKLAL,76,52,0,2152,251,640,127,272,124,368,169,210,30,175,205,356,51,22,91,138,795,0.392,0.467,0.337,0.805,0.543,0.489,G,dinwisp01
Donte DiVincenzo,63,0,2023-24,27,NYK,81,63,0,2360,445,1004,162,299,283,705,86,114,63,234,297,216,107,36,113,166,1259,0.443,0.542,0.401,0.754,0.597,0.584,G,divindo01
Luka Dončić,70,1,2023-24,24,DAL,70,70,1,2624,804,1652,520,908,284,744,478,608,59,588,647,686,99,38,282,149,2370,0.487,0.573,0.382,0.786,0.617,0.573,G-F,doncilu01
Luguentz Dort,79,0,2023-24,24,OKC,79,79,0,2246,288,657,132,261,156,396,128,155,74,210,284,113,72,47,74,228,860,0.438,0.506,0.394,0.826,0.593,0.557,G,dortlu01
Ayo Dosunmu,37,0,2023-24,24,CHI,76,37,0,2212,360,719,241,424,119,295,85,105,54,162,216,242,68,36,103,166,924,0.501,0.568,0.403,0.81,0.604,0.583,G,dosunay01
Andre Drummond,10,0,2023-24,30,CHI,79,10,0,1351,267,480,267,477,0,3,129,218,265,443,708,37,73,48,81,140,663,0.556,0.56,0,0.592,0.576,0.556,C,drumman01
Chris Duarte,11,0,2023-24,26,SAC,59,11,0,719,80,210,36,83,44,127,26,33,26,80,106,44,28,8,26,80,230,0.381,0.434,0.346,0.788,0.512,0.486,G,duartch01
Kris Dunn,32,0,2023-24,29,UTA,66,32,0,1249,147,313,106,202,41,111,22,32,50,139,189,254,68,28,79,135,357,0.47,0.525,0.369,0.688,0.546,0.535,G,dunnkr01
Kevin Durant,75,1,2023-24,35,PHO,75,75,1,2791,751,1436,583,1029,168,407,362,423,41,454,495,378,69,91,244,133,2032,0.523,0.567,0.413,0.856,0.626,0.581,F-G,duranke01
Jalen Duren,60,0,2023-24,20,DET,61,60,0,1777,349,564,349,560,0,4,143,181,192,517,709,147,33,47,129,192,841,0.619,0.623,0,0.79,0.653,0.619,C,durenja01
Anthony Edwards,78,1,2023-24,22,MIN,79,78,1,2770,718,1558,528,1026,190,532,423,506,52,378,430,405,101,42,241,141,2049,0.461,0.515,0.357,0.836,0.575,0.522,G-F,edwaran01
Keon Ellis,21,0,2023-24,24,SAC,57,21,0,978,107,232,37,64,70,168,26,35,32,92,124,85,51,29,37,112,310,0.461,0.578,0.417,0.743,0.627,0.612,G,elliske01
Joel Embiid,39,1,2023-24,29,PHI,39,39,1,1309,450,851,396,712,54,139,399,452,95,335,430,219,46,66,150,112,1353,0.529,0.556,0.388,0.883,0.644,0.561,C,embiijo01
Dante Exum,17,0,2023-24,28,DAL,55,17,0,1088,161,302,108,194,53,108,53,68,25,124,149,157,22,5,49,85,428,0.533,0.557,0.491,0.779,0.645,0.621,G,exumda01
Dorian Finney-Smith,56,0,2023-24,30,BRK,68,56,0,1934,215,511,98,175,117,336,33,46,109,208,317,107,56,38,59,150,580,0.421,0.56,0.348,0.717,0.546,0.535,F,finnedo01
Simone Fontecchio,43,0,2023-24,28,DETUTA,66,43,0,1644,252,548,118,214,134,334,54,66,64,182,246,101,44,23,68,110,692,0.46,0.551,0.401,0.818,0.6,0.582,F,fontesi01
De'Aaron Fox,74,0,2023-24,26,SAC,74,74,0,2659,720,1549,506,969,214,580,312,423,67,273,340,418,150,31,194,193,1966,0.465,0.522,0.369,0.738,0.567,0.534,G,foxde01
Markelle Fultz,18,0,2023-24,25,ORL,43,18,0,910,154,326,150,308,4,18,23,33,56,82,138,120,42,15,50,65,335,0.472,0.487,0.222,0.697,0.492,0.479,G,fultzma01
Daniel Gafford,66,0,2023-24,25,DALWAS,74,66,0,1815,348,480,348,480,0,0,118,175,195,367,562,115,65,153,74,227,814,0.725,0.725,,0.674,0.731,0.725,C-F,gaffoda01
Darius Garland,57,0,2023-24,24,CLE,57,57,0,1901,375,841,243,485,132,356,146,175,30,122,152,373,74,7,176,95,1028,0.446,0.501,0.371,0.834,0.56,0.524,G,garlada01
Keyonte George,44,0,2023-24,20,UTA,75,44,0,2023,319,815,172,375,147,440,189,223,15,196,211,332,36,7,188,91,974,0.391,0.459,0.334,0.848,0.533,0.482,G,georgke01
Paul George,74,1,2023-24,33,LAC,74,74,1,2502,582,1236,339,648,243,588,264,291,37,351,388,262,113,37,153,202,1671,0.471,0.523,0.413,0.907,0.613,0.569,F-G,georgpa01
Josh Giddey,80,0,2023-24,21,OKC,80,80,0,2011,402,847,320,604,82,243,100,124,111,403,514,386,51,44,168,111,986,0.475,0.53,0.337,0.806,0.547,0.523,G,giddejo01
Shai Gilgeous-Alexander,75,1,2023-24,25,OKC,75,75,1,2553,796,1487,701,1218,95,269,567,649,65,350,415,465,150,67,162,184,2254,0.535,0.576,0.353,0.874,0.636,0.567,G,gilgesh01
Jacob Gilyard,14,0,2023-24,25,BRKMEM,41,14,0,699,60,150,9,24,51,126,2,2,9,37,46,137,33,5,30,39,173,0.4,0.375,0.405,1,0.573,0.57,G,gilyaja01
Rudy Gobert,76,0,2023-24,31,MIN,76,76,0,2593,406,614,406,611,0,3,249,390,285,697,982,102,52,162,118,238,1061,0.661,0.664,0,0.638,0.675,0.661,C,goberru01
Jordan Goodwin,12,0,2023-24,25,MEMPHO,57,12,0,1055,141,382,99,241,42,141,44,59,88,165,253,155,48,18,56,76,368,0.369,0.411,0.298,0.746,0.451,0.424,G,goodwjo01
Aaron Gordon,73,0,2023-24,28,DEN,73,73,0,2297,398,716,358,578,40,138,177,269,174,297,471,259,56,45,105,142,1013,0.556,0.619,0.29,0.658,0.607,0.584,F,gordoaa01
Eric Gordon,24,0,2023-24,35,PHO,68,24,0,1893,274,618,124,221,150,397,51,64,16,106,122,139,66,30,73,79,749,0.443,0.561,0.378,0.797,0.58,0.565,G-F,gordoer01
Jerami Grant,54,0,2023-24,29,POR,54,54,0,1830,383,850,272,574,111,276,255,312,37,154,191,152,45,34,116,117,1132,0.451,0.474,0.402,0.817,0.573,0.516,F,grantje01
Draymond Green,52,0,2023-24,33,GSW,55,52,0,1490,185,372,134,243,51,129,54,74,76,322,398,332,55,47,135,166,475,0.497,0.551,0.395,0.73,0.587,0.566,F,greendr01
Jalen Green,82,0,2023-24,21,HOU,82,82,0,2601,563,1332,362,727,201,605,283,352,41,382,423,291,66,28,191,115,1610,0.423,0.498,0.332,0.804,0.541,0.498,G,greenja05
Josh Green,33,0,2023-24,23,DAL,57,33,0,1505,179,374,107,187,72,187,39,57,40,144,184,130,47,9,60,107,469,0.479,0.572,0.385,0.684,0.588,0.575,G-F,greenjo02
Quentin Grimes,18,0,2023-24,23,DETNYK,51,18,0,1025,122,328,41,88,81,240,34,45,15,85,100,66,35,7,28,75,359,0.372,0.466,0.338,0.756,0.516,0.495,G,grimequ01
Rui Hachimura,39,0,2023-24,25,LAL,68,39,0,1826,363,676,265,444,98,232,99,134,58,236,294,81,41,25,46,101,923,0.537,0.597,0.422,0.739,0.628,0.609,F,hachiru01
Tyrese Haliburton,68,1,2023-24,23,IND,69,68,1,2224,500,1048,305,513,195,535,194,227,35,236,271,752,83,48,159,75,1389,0.477,0.595,0.364,0.855,0.605,0.57,G,halibty01
Tim Hardaway Jr.,12,0,2023-24,31,DAL,79,12,0,2120,392,976,181,379,211,597,144,169,22,232,254,139,42,6,69,106,1139,0.402,0.478,0.353,0.852,0.542,0.51,G,hardati02
James Harden,72,0,2023-24,34,LAC,72,72,0,2470,352,822,166,334,186,488,302,344,34,335,369,614,77,57,185,127,1192,0.428,0.497,0.381,0.878,0.612,0.541,G,hardeja01
Gary Harris,27,0,2023-24,29,ORL,54,27,0,1297,131,297,55,92,76,205,34,45,24,67,91,87,49,14,31,91,372,0.441,0.598,0.371,0.756,0.587,0.569,G,harriga01
Tobias Harris,70,0,2023-24,31,PHI,70,70,0,2368,463,951,372,693,91,258,187,213,80,373,453,217,70,46,93,115,1204,0.487,0.537,0.353,0.878,0.576,0.535,F,harrito02
Isaiah Hartenstein,49,0,2023-24,25,NYK,75,49,0,1896,235,365,234,362,1,3,111,157,244,382,626,188,87,85,93,210,582,0.644,0.646,0.333,0.707,0.67,0.645,F,harteis01
Josh Hart,42,0,2023-24,28,NYK,81,42,0,2707,295,679,215,421,80,258,91,115,128,547,675,331,75,23,118,171,761,0.434,0.511,0.31,0.791,0.522,0.493,G,hartjo01
Sam Hauser,13,0,2023-24,26,BOS,79,13,0,1741,249,558,52,93,197,465,17,19,45,231,276,82,40,25,32,99,712,0.446,0.559,0.424,0.895,0.629,0.623,F,hausesa01
Jordan Hawkins,10,0,2023-24,21,NOP,67,10,0,1160,174,456,65,158,109,298,67,80,29,119,148,70,19,7,40,72,524,0.382,0.411,0.366,0.838,0.533,0.501,G,hawkijo01
Killian Hayes,31,0,2023-24,22,DET,42,31,0,1008,117,283,95,209,22,74,33,50,11,108,119,205,36,20,51,75,289,0.413,0.455,0.297,0.66,0.474,0.452,G,hayeski01
Scoot Henderson,32,0,2023-24,19,POR,62,32,0,1765,307,797,220,529,87,268,167,204,53,141,194,336,48,13,212,195,868,0.385,0.416,0.325,0.819,0.489,0.44,G,hendesc01
Taylor Hendricks,23,0,2023-24,20,UTA,40,23,0,856,108,240,55,100,53,140,23,29,46,139,185,32,28,30,27,77,292,0.45,0.55,0.379,0.793,0.578,0.56,G,hendrita0
Tyler Herro,40,0,2023-24,24,MIA,42,40,0,1407,324,735,192,402,132,333,95,111,19,203,222,188,30,3,93,63,875,0.441,0.478,0.396,0.856,0.558,0.531,G,herroty01
Buddy Hield,42,0,2023-24,31,INDPHI,84,42,0,2160,371,850,152,282,219,568,52,59,61,208,269,236,70,42,103,169,1013,0.436,0.539,0.386,0.881,0.578,0.565,G-F,hieldbu01
Haywood Highsmith,26,0,2023-24,27,MIA,66,26,0,1366,153,329,77,137,76,192,23,36,65,145,210,70,53,30,34,117,405,0.465,0.562,0.396,0.639,0.587,0.581,F,highsha01
Jrue Holiday,69,0,2023-24,33,BOS,69,69,0,2263,331,689,193,367,138,322,60,72,84,289,373,333,61,53,124,108,860,0.48,0.526,0.429,0.833,0.597,0.581,G,holidjr01
Richaun Holmes,10,0,2023-24,30,DALWAS,40,10,0,555,82,147,81,144,1,3,34,47,71,111,182,25,11,19,24,74,199,0.558,0.563,0.333,0.723,0.593,0.561,C-F,holmeri01
Chet Holmgren,82,0,2023-24,21,OKC,82,82,0,2413,505,953,376,604,129,349,218,275,129,519,648,200,53,190,131,197,1357,0.53,0.623,0.37,0.793,0.632,0.598,F-C,holmgch01
Al Horford,33,0,2023-24,37,BOS,65,33,0,1740,214,419,106,161,108,258,26,30,82,331,413,168,38,62,48,93,562,0.511,0.658,0.419,0.867,0.65,0.64,C-F,horfoal01
Talen Horton-Tucker,11,0,2023-24,23,UTA,51,11,0,1009,184,465,124,283,60,182,88,109,21,100,121,177,45,19,65,94,516,0.396,0.438,0.33,0.807,0.503,0.46,G-F,hortota01
Caleb Houstan,13,0,2023-24,21,ORL,59,13,0,815,80,206,8,13,72,193,21,26,28,56,84,29,15,4,16,61,253,0.388,0.615,0.373,0.808,0.582,0.563,G-F,houstca01
Kevin Huerter,59,0,2023-24,25,SAC,64,59,0,1562,248,560,125,219,123,341,36,47,38,186,224,166,45,23,53,135,655,0.443,0.571,0.361,0.766,0.564,0.553,G,huertke01
De'Andre Hunter,37,0,2023-24,26,ATL,57,37,0,1681,304,663,187,359,117,304,166,196,31,191,222,87,40,16,83,146,891,0.459,0.521,0.385,0.847,0.595,0.547,F,huntede01
Brandon Ingram,64,0,2023-24,26,NOP,64,64,0,2103,500,1017,414,775,86,242,246,307,43,281,324,363,50,40,163,145,1332,0.492,0.534,0.355,0.801,0.578,0.534,F,ingrabr01
Kyrie Irving,58,0,2023-24,31,DAL,58,58,0,2030,562,1131,389,710,173,421,190,210,44,246,290,299,74,28,106,112,1487,0.497,0.548,0.411,0.905,0.608,0.573,G,irvinky01
Jaden Ivey,61,0,2023-24,21,DET,77,61,0,2217,417,973,293,604,124,369,227,303,86,178,264,296,57,41,190,204,1185,0.429,0.485,0.336,0.749,0.536,0.492,G,iveyja01
GG Jackson II,18,0,2023-24,19,MEM,48,18,0,1233,241,563,139,277,102,286,115,153,53,143,196,59,28,24,65,64,699,0.428,0.502,0.357,0.752,0.554,0.519,F,jacksgg01
Jaren Jackson Jr.,66,0,2023-24,24,MEM,66,66,0,2124,516,1162,399,796,117,366,337,417,85,280,365,154,80,106,160,235,1486,0.444,0.501,0.32,0.808,0.552,0.494,F,jacksja02
Reggie Jackson,23,0,2023-24,33,DEN,82,23,0,1817,326,756,224,472,102,284,79,98,33,122,155,308,44,13,106,149,833,0.431,0.475,0.359,0.806,0.521,0.499,G,jacksre01
Trayce Jackson-Davis,16,0,2023-24,23,GSW,68,16,0,1130,233,332,233,331,0,1,74,132,135,206,341,82,29,76,49,108,540,0.702,0.704,0,0.561,0.692,0.702,F,jackstr02
LeBron James,71,1,2023-24,39,LAL,71,71,1,2504,685,1269,536,906,149,363,303,404,61,457,518,589,89,38,245,78,1822,0.54,0.592,0.41,0.75,0.63,0.599,F-G,jamesle01
Jaime Jaquez Jr.,20,0,2023-24,22,MIA,75,20,0,2113,341,697,276,495,65,202,142,175,82,203,285,195,77,20,110,167,889,0.489,0.558,0.322,0.811,0.574,0.536,G-F,jaqueja01
Trey Jemison,14,0,2023-24,24,MEMWAS,25,14,0,573,75,136,75,136,0,0,21,25,64,70,134,27,12,28,34,69,171,0.551,0.551,,0.84,0.582,0.551,C,jemistr01
Cameron Johnson,47,0,2023-24,27,BRK,58,47,0,1599,276,619,138,266,138,353,86,109,55,196,251,138,49,15,57,105,776,0.446,0.519,0.391,0.789,0.582,0.557,F,johnsca02
